time,CPU_TOTAL_USAGE,MEM_TOTAL_USAGE
2024-02-04 08:33:31,6.3907989014846,48.66015625
2024-02-04 08:34:31,14.65488404603208,51.1484375
2024-02-04 08:35:31,15.92806986135154,51.19140625000001
2024-02-04 08:36:31,23.72205615145651,62.08984374999999
2024-02-04 08:37:31,28.08446388852061,62.13671875
2024-02-04 08:38:31,31.25083796679688,73.515625
2024-02-04 08:39:31,34.551664099645066,74.203125
2024-02-04 08:40:31,37.657219290761915,82.63671875
2024-02-04 08:41:31,42.40050377833728,82.69140625
2024-02-04 08:42:31,41.878987010990684,82.71484375
2024-02-04 08:43:31,46.84648386495057,82.7578125
2024-02-04 08:44:31,47.27188218601715,82.7578125
2024-02-04 08:45:31,53.96317456241716,82.765625
2024-02-04 08:46:31,58.99423703332518,82.76953125
2024-02-04 08:47:31,60.11568418634773,82.76953125
2024-02-04 08:48:31,61.94827342740119,82.76953125
2024-02-04 08:49:31,66.97582427296038,82.79296875
2024-02-04 08:50:31,70.13535546486855,91.83203125
2024-02-04 08:51:31,85.40069005924164,100.5546875
2024-02-04 08:52:31,83.5699902258187,118.6640625
2024-02-04 08:53:31,87.91415324248871,131.328125
2024-02-04 08:54:31,87.74777696306349,145.24609375
2024-02-04 08:55:31,138.24819828811331,170.55078125
2024-02-04 08:56:31,109.1280086410539,219.2578125
